Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Element Code,Element,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","360","Indonesia","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","71.198858","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","73.200331","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","74.814428","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","74.566103","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","73.115902","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","71.725301","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","71.521674","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","72.430532","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","73.761543","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","74.551203","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","74.481674","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","74.223418","X","Figure from external organization","base year is 2015"
